Tournament,alphazero,mcts,minimax,random
1,1515.6358900537862,1492.3723919005083,1515.4440228833914,1476.547695162314
2,1529.8631732607923,1485.4283611623046,1529.5219139757803,1455.1865516011228
3,1542.8342396201867,1486.914930773011,1534.5612562812055,1435.6895733255967
4,1554.687816499222,1480.4508308139139,1547.0303233899824,1417.8310292968818
5,1565.566759089434,1474.5434572347915,1558.4847256133266,1401.4050580624478
6,1567.9202598799307,1476.7777506619043,1569.0410990243438,1386.2608904338213
7,1577.8154966420873,1471.1629862624445,1578.8098864752603,1372.2116306202079
8,1586.9878851360904,1466.006243746536,1587.884570389591,1359.1213007277825
9,1595.5232325900586,1461.2569378040657,1596.3457258940034,1346.8741037118723
10,1603.4952452627779,1456.8704880295206,1604.262646873161,1335.3716198345405
11,1610.9671868314076,1452.8077451758297,1611.6949316846662,1324.5301363080964
12,1617.9934181189376,1449.0343856222246,1618.6939239322141,1314.2782723266237
13,1624.6207582307277,1445.5203256889786,1625.3039721642313,1304.5549439160625
14,1623.158763923347,1449.9369761913783,1631.526163812565,1295.3780960727097
15,1629.623900255261,1446.317384367314,1637.4321040368136,1286.6266113406114
16,1635.7496010389746,1442.9378042225535,1643.0512216772293,1278.2613730612427
17,1641.5676847853972,1439.7746823110097,1648.4092777964,1270.2483551071932
18,1647.1060239606054,1444.6600960077437,1645.5957936067905,1262.6380864248604
19,1652.3340781824463,1441.355897495746,1650.9925008183056,1255.317523503502
20,1657.3316480243304,1442.1861557705774,1652.1778965545352,1248.3042996505567
21,1662.0881796930955,1446.8850432372947,1649.4135330505019,1241.6132440191077
22,1666.5921073739048,1443.4119479616559,1654.8536086430597,1235.1423360213794
23,1667.0395107829304,1444.0223775951245,1660.0219939632818,1228.916117658663
24,1671.4375186571992,1440.7195698634762,1664.9650060374117,1222.8779054419126
25,1675.6690057278809,1437.6148405726601,1669.7004462538612,1217.0157074455976
26,1679.7463084573433,1434.6907308015916,1674.2442304990168,1211.318730242048
27,1683.6804900383147,1431.931661663311,1678.6106292175245,1205.7772190808496
28,1687.481500661321,1429.3237025643384,1682.8124730299432,1200.3823237443971
29,1691.1583147961203,1426.8543706135604,1686.8613291850154,1195.1259854053037
30,1694.7190490729542,1424.5124568724377,1690.7676533145782,1190.0008407400296
31,1690.3909004852753,1430.057642491059,1694.4680044048196,1185.083452618846
32,1694.153965557914,1427.519570454164,1698.048559112839,1180.2779048750826
33,1697.792245976779,1425.1118435769586,1701.5169582400597,1175.5789522062025
34,1701.3137526126648,1422.824346403511,1704.8801544222133,1170.9817465616106
35,1704.7257803520492,1420.6479361981842,1708.1444890498299,1166.4817943999365
36,1708.0349871152575,1418.5743338765508,1711.3157592042671,1162.0749198039243
37,1711.2474627510726,1416.5960286890104,1714.3992760512829,1157.757232508634
38,1714.3687892521284,1414.7061947683067,1717.3999159103328,1153.525100069232
39,1709.6148563482454,1420.6936001315769,1720.2347823674336,1149.4567611527439
40,1705.163531516197,1426.3815902346103,1722.9155272687829,1145.5393509804096
41,1708.7910890291914,1423.9839588615262,1725.5376123538933,1141.6873397553888
42,1712.296663416074,1421.7008410788708,1728.1038835133331,1137.898611991722
43,1715.687819007277,1419.5240516804226,1730.6169604744387,1134.1711688378614
44,1718.9714901658579,1417.4461318682697,1733.079260805818,1130.5031171600542
45,1722.1540454262658,1415.4602735620022,1735.4930208955209,1126.892660116211
46,1725.2413440361213,1413.5602526601028,1737.8603143318403,1123.3380889719353
47,1728.2387859069006,1411.7403700872983,1740.1830680493683,1119.8377759564326
48,1731.151355836074,1409.9953996235213,1742.4630765475265,1116.390167992878
49,1726.1875101429127,1416.1393022278023,1744.6036968231206,1113.069490806164
50,1729.3068085182572,1422.0941420957488,1738.7304707854344,1109.8685786005594
