iteration,pi_loss,v_loss,timestamp
1,1.941986,0.301960,2026-06-07 11:55:51
2,1.932144,0.215977,2026-06-07 12:47:37
3,1.891986,0.169963,2026-06-07 13:38:59
4,1.629262,0.001482,2026-06-07 14:57:19
5,1.335570,0.002846,2026-06-07 15:46:38
6,1.178543,0.000860,2026-06-07 17:50:09
7,1.083361,0.006284,2026-06-07 18:41:14
8,1.049879,0.009569,2026-06-07 19:35:56
9,1.057845,0.005316,2026-06-07 20:28:50
10,1.011364,0.003002,2026-06-07 21:18:51
11,0.991246,0.000905,2026-06-08 07:52:17
12,0.999243,0.000179,2026-06-08 11:01:39
13,1.010785,0.000095,2026-06-08 11:58:12
14,0.999424,0.000097,2026-06-08 12:52:36
15,1.000563,0.000216,2026-06-08 13:47:06
16,0.960000,0.000131,2026-06-08 18:53:23
17,0.984350,0.001049,2026-06-09 08:20:07
18,0.973803,0.002279,2026-06-09 09:13:44
19,0.966659,0.000325,2026-06-09 10:06:23
20,0.946837,0.005125,2026-06-09 10:59:39
21,0.934126,0.006382,2026-06-09 11:51:59
22,0.913783,0.008717,2026-06-09 12:45:27
23,0.857506,0.017997,2026-06-09 14:27:50
24,0.784787,0.154478,2026-06-09 15:23:46
25,0.791505,0.184777,2026-06-09 16:18:24
26,0.720579,0.143481,2026-06-09 17:12:19
26,0.565908,0.210125,2026-06-09 18:03:54
27,0.897645,0.137433,2026-06-09 19:04:10
28,0.842301,0.113576,2026-06-09 20:02:21
29,0.824779,0.076890,2026-06-09 21:02:03
30,0.826637,0.058990,2026-06-09 21:55:51
31,0.813575,0.047543,2026-06-09 22:49:42
32,0.892835,0.000790,2026-06-10 01:37:51
33,0.840597,0.000276,2026-06-10 02:34:18
34,0.848623,0.000183,2026-06-10 03:36:44
35,0.846780,0.000128,2026-06-10 04:36:00
36,0.845949,0.007313,2026-06-10 05:32:00
36,0.874664,0.002153,2026-06-10 07:06:46
37,0.853504,0.014915,2026-06-10 08:07:54
38,0.845354,0.008099,2026-06-10 09:04:15
39,0.855326,0.013996,2026-06-10 10:08:02
40,0.846399,0.010277,2026-06-10 11:08:34
41,1.019475,0.007091,2026-06-10 13:06:24
42,0.923070,0.000169,2026-06-10 14:07:24
43,1.092154,0.028938,2026-06-10 17:09:59
44,0.952752,0.008059,2026-06-10 18:09:20
45,1.117017,0.014137,2026-06-10 19:09:11
46,1.018096,0.028251,2026-06-10 20:25:11
47,1.052130,0.002402,2026-06-11 02:31:16
48,0.952650,0.001669,2026-06-11 03:26:25
49,0.943398,0.002140,2026-06-11 05:58:05
50,0.946636,0.000491,2026-06-11 06:48:49
51,0.898556,0.000088,2026-06-11 12:30:04
52,0.899171,0.002155,2026-06-11 13:22:01
53,0.876483,0.000151,2026-06-11 14:15:44
54,1.009939,0.015728,2026-06-11 16:19:25
55,0.883896,0.011970,2026-06-11 17:09:22
56,0.995168,0.073385,2026-06-11 19:01:09
57,0.793219,0.191469,2026-06-11 19:53:33
58,0.825480,0.110585,2026-06-11 20:55:04
59,0.936048,0.001666,2026-06-12 04:30:08
59,0.899206,0.001661,2026-06-12 06:27:47
60,0.878542,0.001785,2026-06-12 07:29:56
61,0.941358,0.001141,2026-06-12 08:57:47
62,0.870025,0.018348,2026-06-12 09:52:31
63,0.846547,0.042122,2026-06-12 10:45:57
63,0.858147,0.002223,2026-06-12 11:36:22
64,0.853632,0.031382,2026-06-12 12:33:25
65,0.843300,0.012202,2026-06-12 13:34:19
66,0.880679,0.011625,2026-06-12 15:31:14
67,0.832858,0.004193,2026-06-12 16:32:34
66,0.891124,0.000503,2026-06-12 17:34:06
67,0.870596,0.001179,2026-06-12 18:37:57
66,0.897277,0.013128,2026-06-12 19:40:48
67,0.862509,0.004758,2026-06-12 20:38:18
68,0.873319,0.000286,2026-06-13 04:59:27
69,0.916716,0.000296,2026-06-13 06:06:40
72,0.877364,0.003258,2026-06-13 16:52:01
73,0.770559,0.141645,2026-06-13 17:27:52
74,0.802534,0.081834,2026-06-13 18:06:50
75,0.811955,0.058937,2026-06-13 18:47:31
